unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
FR10	17214.0 	18211.9 	19124.2 	20387.0 	22053.3 	23785.9 	24769.9 	23538.1 	24303.0 	24932.5 	25766.7 	27004.0 
FR21	11495.3 	11992.9 	12688.3 	13429.2 	14623.1 	15429.5 	15974.0 	15323.1 	16062.3 	16177.1 	16790.7 	17663.2 
FR22	11673.5 	12131.0 	12805.8 	13417.2 	14516.4 	15545.8 	16098.3 	15562.8 	16102.1 	16887.7 	17242.8 	18233.2 
FR23	11816.7 	12218.2 	12858.1 	13472.6 	14621.6 	15833.6 	16418.7 	15935.6 	16455.2 	17087.5 	17632.6 	18543.1 
FR24	12123.4 	12747.9 	13398.4 	14002.5 	15115.5 	16291.6 	16802.9 	16225.5 	16751.2 	17320.6 	17939.7 	18815.6 
FR25	11065.5 	11507.1 	11962.0 	12486.6 	13551.1 	14649.7 	15107.7 	14682.5 	15153.5 	15832.6 	16297.6 	17141.7 
FR26	11781.5 	12450.8 	12976.8 	13624.0 	14635.8 	15582.6 	16130.9 	15595.1 	16145.9 	16843.1 	17202.7 	18202.8 
FR30	9899.3 	10339.2 	11014.4 	11560.3 	12652.1 	13739.6 	14250.3 	13811.3 	14240.4 	14943.4 	15395.7 	16232.3 
FR41	11028.7 	11440.4 	12003.2 	12705.3 	13671.6 	15196.2 	15745.6 	15128.3 	15684.2 	16145.5 	17030.4 	17753.2 
FR42	12972.3 	13504.6 	14132.3 	14952.2 	16080.5 	17887.2 	18546.3 	17725.1 	18275.0 	18807.3 	18881.4 	20043.9 
FR43	11390.9 	11865.6 	12535.6 	13213.9 	14302.6 	15792.2 	16392.7 	15773.8 	16275.0 	16817.0 	17001.7 	17992.2 
FR51	11446.0 	11978.5 	12581.4 	13272.2 	14358.6 	15504.2 	15850.9 	15227.3 	15670.7 	16546.4 	17307.2 	17908.4 
FR52	11254.8 	11914.4 	12409.0 	13055.8 	14109.5 	15349.8 	15569.9 	14993.3 	15403.0 	16589.0 	16967.2 	17790.8 
FR53	10940.5 	11505.5 	12051.7 	12695.6 	13714.4 	14863.6 	15345.8 	14809.5 	15234.7 	15989.6 	16642.1 	17300.5 
FR61	11420.8 	12227.6 	12708.6 	13476.3 	14516.2 	15775.3 	16219.0 	15553.3 	16065.8 	17092.8 	17832.6 	18488.9 
FR62	11166.0 	11886.9 	12453.8 	13202.2 	14207.6 	15455.1 	15912.8 	15256.7 	15669.8 	16864.2 	17657.0 	18211.4 
FR63	10933.0 	11565.4 	12434.5 	12975.9 	14003.8 	15110.8 	15618.9 	15125.6 	15565.3 	16439.4 	16873.4 	17720.3 
FR71	12563.2 	13180.7 	13937.9 	14764.3 	15904.0 	17277.2 	17835.1 	17088.3 	17609.1 	18432.0 	19383.8 	20061.5 
FR72	11104.5 	11757.9 	12398.9 	13061.1 	14068.0 	15163.7 	15715.9 	15213.2 	15689.4 	16506.6 	16948.8 	17882.1 
FR81	10074.7 	10665.2 	11269.9 	11930.5 	12812.6 	13861.9 	14270.3 	13770.1 	14122.6 	14964.5 	15618.7 	16138.0 
FR82	11751.3 	12237.0 	12736.2 	13484.2 	14645.0 	15952.2 	16479.4 	15889.7 	16390.4 	17262.9 	17773.4 	18566.2 
FR83	9228.5 	9966.1 	10932.1 	11520.6 	12307.2 	13195.1 	13751.3 	13439.2 	13909.0 	14842.7 	15631.1 	15960.0 
FR91	6752.9 	: 	8059.9 	8582.2 	9159.7 	: 	: 	: 	: 	: 	: 	: 
FR92	7629.3 	: 	9100.5 	9565.9 	10241.6 	: 	: 	: 	: 	: 	: 	: 
FR93	6322.3 	: 	7792.0 	8074.0 	8310.9 	: 	: 	: 	: 	: 	: 	: 
FR94	6722.3 	: 	7432.5 	7906.1 	8580.1 	: 	: 	: 	: 	: 	: 	: 
GR11	6794.2 	7293.6 	7084.0 	8238.0 	8496.6 b	9178.6 	10119.3 	9607.1 	9700.4 	11014.8 	11401.5 	12463.2 
GR12	7945.7 	8253.2 	8194.4 	9023.6 	8865.3 b	9818.3 	10702.9 	10752.2 	10877.7 	11719.7 	12047.1 	13114.4 
GR13	12963.5 	14363.2 	14096.9 	14805.6 	15077.6 b	15830.8 	17402.5 	16546.4 	14103.1 	13136.9 	13613.6 	14961.3 
GR14	8038.0 	8533.5 	8285.6 	9133.8 	9029.3 b	9838.4 	10809.5 	10315.7 	10101.0 	11168.4 	11681.2 	13016.1 
GR21	8511.4 	9624.7 	9737.0 	10417.7 	10634.9 b	11399.1 	12266.6 	11478.1 	10450.2 	11146.1 	11699.2 	13127.6 
GR22	9302.3 	10164.4 	10508.0 	11209.1 	12173.5 b	12382.9 	13306.6 	12304.1 	10378.4 	10962.0 	11601.8 	13188.3 
GR23	7954.6 	8326.4 	8381.7 	9457.5 	9216.3 b	10194.2 	11127.3 	10459.1 	9473.2 	10090.6 	10558.1 	11766.5 
GR24	9241.5 	10746.8 	10429.5 	11525.8 	11645.6 b	12790.8 	14023.1 	13284.2 	11713.1 	12780.1 	13430.8 	15063.8 
GR25	7124.8 	7101.7 	7022.6 	7584.0 	7751.9 b	8347.9 	9124.7 	8854.2 	9515.9 	10059.8 	10603.2 	11888.9 
GR30	8876.5 	9475.0 	10274.9 	11297.5 	11630.8 b	12655.3 	13910.4 	13248.0 	15414.6 	15749.4 	16470.5 	18165.4 
GR41	7407.7 	7921.0 	8846.0 	9560.4 	10430.1 b	10554.7 	11443.6 	10812.3 	10851.6 	12051.8 	13046.1 	15133.1 
GR42	8970.3 	9747.6 	9922.0 	11736.3 	13792.6 b	14042.1 	15219.8 	14627.9 	12247.0 	12800.2 	13868.2 	15886.8 
GR43	9253.9 	9593.0 	9726.7 	10371.9 	10610.1 b	11046.2 	12004.2 	11842.3 	10508.5 	11616.0 	12258.3 	13810.7 
HU10	: 	: 	: 	: 	9425.4 	10319.4 	11290.9 	11788.7 	12591.4 	13376.9 	13309.2 	13092.9 
HU21	: 	: 	: 	: 	6373.6 	6964.0 	7550.0 	7535.4 	7715.1 	8052.5 	8789.8 	9025.7 
HU22	: 	: 	: 	: 	6948.0 	7128.0 	7760.5 	7605.6 	8143.3 	8092.2 	8453.4 	8636.7 
HU23	: 	: 	: 	: 	5223.6 	5396.4 	6031.2 	6126.1 	6143.4 	6414.9 	6954.5 	7141.9 
HU31	: 	: 	: 	: 	4572.7 	4930.4 	5427.6 	5483.7 	5589.2 	5888.3 	6325.0 	6497.3 
HU32	: 	: 	: 	: 	4347.8 	4702.3 	5165.7 	5214.7 	5215.6 	5571.7 	6133.8 	6349.1 
HU33	: 	: 	: 	: 	5127.3 	5554.9 	5782.7 	5870.9 	5887.6 	6153.4 	6621.4 	6841.9 
IE01	8268.4	8919.9	9862.7	10270.6	11317.4	12027.2	11453.2	12119.9	13069.2	13889.0	14540.7	15111.2
IE02	10203.2	10900.9	12166.8	12715.5	13738.8	14641.0	14484.0	15106.0	16422.9	17511.9	18386.0	19105.9
ITC1	16678.2 	17260.7 	17043.4 	17684.3 	18283.1 	18559.2 	18501.7 	18667.3 	19017.7 	19421.7 	20348.3 	21123.9 
ITC2	17093.1 	17596.5 	17609.2 	17824.9 	18839.2 	19530.7 	19338.6 	19343.8 	19635.4 	19721.8 	20374.2 	21197.2 
ITC3	14992.3 	15663.4 	15566.4 	15938.4 	16935.9 	17361.6 	17001.8 	17172.2 	17155.9 	17649.0 	18405.1 	19549.2 
ITC4	18507.9 	19152.2 	19099.3 	19656.4 	20558.7 	20885.8 	20852.0 	20764.7 	21169.1 	21686.6 	22488.1 	23402.8 
ITD1	19021.5 	19203.7 	19171.8 	19344.6 	20263.2 	21008.0 	21095.0 	20591.1 	21473.7 	21490.4 	22284.5 	23346.4 
ITD2	17040.6 	17347.9 	17199.4 	17743.5 	18655.7 	18731.2 	18978.4 	18715.2 	18516.1 	18762.1 	19437.7 	20469.7 
ITD3	16489.4 	17237.8 	17142.6 	17672.1 	18533.7 	18848.3 	18550.3 	18822.7 	19029.7 	19457.0 	20132.6 	20871.7 
ITD4	15882.6 	16492.7 	16405.5 	16951.9 	17913.6 	18257.9 	18184.0 	18493.8 	18589.2 	18939.0 	19907.1 	20877.7 
ITD5	18689.8 	19288.7 	19044.1 	19522.0 	20550.2 	20874.8 	20689.6 	20661.6 	20617.8 	21117.2 	22131.9 	23319.1 
ITE1	15809.9 	16306.5 	16095.7 	16645.9 	17562.3 	18074.9 	17845.4 	18085.1 	18192.8 	18598.9 	19360.6 	20274.6 
ITE2	13955.7 	14411.2 	14422.1 	15040.5 	15746.6 	16165.2 	15729.3 	15628.2 	16121.3 	16340.0 	16897.6 	17596.0 
ITE3	14938.0 	15388.0 	15112.1 	15576.5 	16266.0 	16698.5 	16604.5 	16711.6 	16969.6 	17441.9 	18280.9 	18923.9 
ITE4	15782.5 	16353.9 	16178.0 	16530.4 	17267.5 	17952.0 	18325.3 	18439.1 	18848.3 	19282.6 	19523.4 	20280.0 
ITF1	11791.1 	12100.4 	11906.7 	12089.6 	12916.4 	13622.7 	13439.5 	13247.0 	12931.7 	13529.3 	14170.4 	14887.9 
ITF2	9998.8 	10694.2 	10767.3 	11276.1 	11787.6 	12110.2 	11853.1 	12006.5 	12229.1 	12514.7 	13332.7 	13912.7 
ITF3	9000.7 	9409.6 	9527.3 	9772.3 	10357.0 	10782.9 	10852.6 	10860.9 	10832.5 	11221.7 	11611.9 	12107.7 
ITF4	9113.8 	9429.0 	9338.9 	9755.9 	10347.3 	10839.3 	10816.2 	10859.0 	10855.1 	11157.0 	11639.3 	12149.2 
ITF5	9245.5 	9764.1 	9915.9 	10475.3 	11005.5 	11079.0 	11303.7 	11439.3 	11555.3 	11916.6 	12589.7 	13186.3 
ITF6	8174.2 	8651.7 	8673.5 	9081.8 	9381.9 	9937.5 	9906.1 	10154.3 	10273.1 	10564.7 	11090.6 	11420.9 
ITG1	8735.6 	9151.9 	9151.9 	9438.5 	9981.2 	10456.8 	10347.4 	10422.2 	10470.4 	10952.6 	11409.1 	11764.3 
ITG2	9803.4 	10453.6 	10550.2 	10932.6 	11509.8 	12103.4 	12008.9 	12280.8 	12338.2 	12573.5 	13170.8 	13597.3 
LT00	3202.0 	3699.6 	4169.1 	4264.7 	4741.3 	4917.5 	5516.6 	6138.5 	6614.0 	7338.4 	8251.4 	8783.7 
LV00	2715.3 	3074.8 	3132.9 	3168.6 	3634.5 	4013.3 	4470.6 	4820.9 	5361.7 	6035.6 	7032.6 	8555.3 
NL11	11523.5 	12011.5 	12872.7 	13429.6 	14176.3 	14264.0 	15670.6 	15370.7 	15150.4 	15441.5 	16121.9 	17334.7 
NL12	11449.5 	11825.2 	12803.5 	13551.8 	14709.6 	14793.6 	15655.9 	14933.1 	16091.5 	16386.4 	17145.0 	18498.4 
NL13	12244.6 	12877.7 	13734.9 	14275.4 	14924.8 	15000.7 	16174.7 	15693.7 	15879.2 	16795.3 	17282.5 	18865.3 
NL21	11768.6 	12480.5 	13250.3 	13939.1 	14783.9 	14971.0 	16180.2 	15648.8 	16119.4 	16902.5 	17266.0 	18624.3 
NL22	12851.6 	13728.1 	14360.8 	15098.8 	16040.6 	16398.1 	17583.6 	17072.1 	17821.4 	18524.3 	19326.7 	21010.7 
NL23	12999.8 	13338.4 	14589.8 	15522.0 	16117.0 	16842.2 	18176.2 	18146.7 	18017.9 	18257.7 	18994.8 	20241.1 
NL31	14970.6 	16099.2 	17436.5 	18031.5 	19021.0 	19785.0 	21979.3 	20448.9 	20765.2 	22112.7 	22940.7 	24754.5 
NL32	14121.5 	14950.0 	16023.5 	16936.2 	18258.7 	18818.8 	20566.6 	19397.6 	19786.1 	20811.8 	21726.8 	23863.4 
NL33	13665.2 	14330.9 	15387.5 	15900.7 	16935.5 	17687.1 	19142.8 	18493.9 	18995.4 	19594.0 	20502.2 	22231.2 
NL34	12708.4 	13258.6 	14263.1 	14022.8 	15703.1 	15251.5 	16487.1 	16153.8 	17334.1 	17743.7 	18496.5 	19739.4 
NL41	13330.9 	14089.2 	14785.1 	15508.2 	16926.4 	17001.2 	18107.9 	17399.3 	18286.2 	18908.9 	19840.9 	21516.0 
NL42	12195.3 	12775.7 	13583.3 	14284.5 	15256.8 	15544.8 	16355.0 	15848.7 	15724.7 	16183.6 	16792.3 	18194.2 
PL11	4292.1 	4738.5 	5103.8 	5299.9 	5560.4 	5782.6 	6007.3 	6011.9 	6510.5 	6692.8 	7168.9 	8165.2 
PL12	6204.8 	6874.8 	7588.4 	7895.9 	8580.2 	9027.8 	9223.2 	9087.4 	9618.3 	10026.1 	10646.9 	12182.4 
PL21	4150.9 	4530.9 	4926.4 	5065.0 	5340.6 	5437.0 	5633.6 	5512.9 	5833.8 	6015.7 	6434.4 	7265.6 
PL22	5412.9 	5762.8 	6196.7 	6377.8 	6641.9 	6816.3 	6961.9 	6920.0 	7281.9 	7524.2 	7930.5 	9090.2 
PL31	3659.1 	3965.1 	4203.6 	4239.6 	4363.0 	4659.5 	4747.1 	4757.1 	5074.4 	5144.5 	5452.5 	6239.2 
PL32	3395.2 	3742.9 	4050.8 	4194.6 	4366.6 	4541.9 	4579.3 	4582.9 	4839.9 	4953.8 	5313.6 	6014.4 
PL33	3492.7 	3836.3 	4152.3 	4475.0 	4775.4 	4903.6 	5065.6 	5132.6 	5476.5 	5498.6 	5915.6 	6736.0 
