Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08119067 Schorndorf, Stadt;28219;25269;2950;0;19320;2825;219;19101;7320;4518;4414;1371;;120;;;;520;226;47;;187;104;;;274;;;
08119068 Schwaikheim;6453;5684;769;0;4857;741;44;4813;1622;1367;1098;352;;29;16;;;102;55;7;;44;32;;;89;;;
08119069 Spiegelberg;1629;1476;153;0;1133;149;18;1115;454;222;218;57;;9;3;;;50;22;;;40;9;;;31;;0;
08119075 Sulzbach an der Murr;3735;3377;358;0;2497;341;48;2449;1093;525;459;106;;17;2;;;89;33;;;55;21;;;48;;1;
08119076 Urbach;6236;5645;591;0;4420;560;56;4364;1827;1028;893;273;;31;;;;78;67;16;;35;34;;;82;;;
08119079 Waiblingen, Stadt;35383;31210;4173;0;24550;3957;255;24295;8621;6363;5543;1924;;114;45;;;681;231;64;;206;154;;;349;;;
08119083 Weissach im Tal;5459;4869;590;0;3938;575;48;3890;1566;990;735;282;;31;10;;;92;50;;;49;27;;;50;;8;
08119084 Welzheim, Stadt;7824;7038;786;0;5077;758;63;5014;2084;1148;1010;238;;43;13;;;162;77;;;66;33;;;131;;9;
08119085 Winnenden, Stadt;18461;16541;1920;0;12863;1836;137;12726;5040;2688;3028;1017;;78;10;;;317;143;34;;125;57;;;189;;;
08119086 Winterbach;5749;5107;642;0;4415;610;45;4370;1616;1029;1165;297;;18;;;;81;39;16;;28;18;;;63;;;
08119087 Aspach;5939;5495;444;0;4072;429;51;4021;1644;958;838;226;;55;14;;;89;54;;;62;31;;;44;;6;
08119089 Berglen;4669;4225;444;0;3509;401;43;3466;1478;655;725;256;;41;15;;;92;62;;;58;29;;;47;;8;
08119090 Remshalden;10215;8826;1389;0;7805;1352;95;7710;3068;1594;1756;717;;47;;;;154;74;32;;63;55;;;150;;;
08119091 Weinstadt, Stadt;18788;16271;2517;0;14448;2414;149;14299;5971;3027;3219;1155;;100;;;;254;128;45;;114;59;;;227;;;
08119093 Kernen im Remstal;11136;9647;1488;1;8178;1414;90;8088;2740;1785;1896;1101;;46;;;;187;52;93;;46;34;;;108;;;
08121000 Heilbronn, Stadt;78140;70842;7295;3;46583;6813;678;45905;16690;12336;9809;2683;;;188;;;1556;695;;;578;329;;;1041;;;
08125001 Abstatt;3305;2918;387;0;2475;375;29;2446;935;843;389;96;21;;;;;49;32;;;24;14;;;43;;;
