Gemeinde;Wahlberechtigte;A1;A2;A3;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;CDU;SPD;GRÜNE;FDP;Volksabstimmung;AUF;BIG;BüSo;DKP;DIE LINKE;REP;DIE VIOLETTEN;FAMILIE;NPD;ödp;PBC;Die PARTEI;PIRATEN;RSB;Einzelbewerber;
08317085 Nordrach;1513;1421;92;0;948;89;20;928;429;167;212;66;;;;;;12;14;;;7;;;;21;;;
08317088 Oberharmersbach;1954;1845;109;0;1334;103;32;1302;716;172;272;44;;;;;;21;21;;;33;;;;23;;;
08317089 Oberkirch, Stadt;15286;13809;1477;0;9844;1407;155;9689;4988;1652;2172;392;;;;;;185;57;;;68;;;;175;;;
08317093 Oberwolfach;2071;1955;116;0;1500;110;35;1465;773;241;337;41;;;;;;21;7;;;6;20;;;19;;;
08317096 Offenburg, Stadt;43300;39046;4254;0;24424;3822;391;24033;8834;5449;7166;938;;;;;;763;187;;;186;;;;510;;;
08317097 Ohlsbach;2479;2214;265;0;1743;250;32;1711;701;368;479;72;;;;;;44;17;;;7;;;;23;;;
08317098 Oppenau, Stadt;3741;3255;486;0;2566;466;42;2524;1278;481;561;88;;;;;;44;11;;;13;;;;48;;;
08317100 Ortenberg;2555;2223;332;0;1842;326;31;1811;831;302;487;83;;;;;;52;13;;;9;;;;34;;;
08317102 Ottenhöfen im Schwarzwald;2493;2252;241;0;1613;229;38;1575;962;189;241;82;;;;;;37;21;;;19;;;;24;;;
08317110 Renchen, Stadt;5563;4996;567;0;3293;513;56;3237;1388;730;737;147;;;;;;109;34;;;29;;;;63;;;
08317113 Ringsheim;1732;1586;146;0;1187;140;24;1163;489;246;269;58;;;;;;28;17;;;5;15;;;36;;;
08317114 Rust;2703;2522;181;0;1504;177;28;1476;635;354;309;55;;;;;;32;18;;;17;8;;;48;;;
08317116 Sasbach;4085;3602;483;0;2698;462;45;2653;1515;377;503;103;;;;;;58;21;;;13;;;;63;;;
08317118 Sasbachwalden;1804;1562;242;0;1221;232;14;1207;711;142;221;62;;;;;;32;10;;;12;;;;17;;;
08317121 Schuttertal;2551;2436;115;0;1767;111;44;1723;883;237;423;65;;;;;;42;13;;;19;19;;;22;;;
08317122 Schutterwald;5680;5238;440;2;3762;410;70;3692;1357;893;1056;128;;;;;;112;33;;;34;;;;79;;;
08317126 Seebach;1108;1029;79;0;761;72;17;744;507;84;91;25;;;;;;13;7;;;8;;;;9;;;
08317127 Seelbach;4021;3599;422;0;2672;401;43;2629;1091;607;642;97;;;;;;65;23;;;33;24;;;47;;;
08317129 Steinach;3110;2959;151;0;2028;145;49;1979;920;347;490;76;;;;;;48;19;;;21;9;;;49;;;
08317141 Willstätt;6895;6335;560;0;4157;531;77;4080;1461;856;988;423;;;;;;170;39;;;67;;;;76;;;
08317145 Wolfach, Stadt;4505;4099;406;0;3143;392;59;3084;1315;647;844;127;;;;;;60;16;;;14;28;;;33;;;
08317146 Zell am Harmersbach, Stadt;6205;5743;462;0;3811;441;76;3735;1731;724;912;146;;;;;;73;30;;;38;;;;81;;;
08317150 Schwanau;5235;4804;431;0;3236;412;58;3178;1140;919;730;145;;;;;;80;37;;;25;48;;;54;;;
08317151 Neuried;7357;6812;545;0;4411;523;75;4336;1710;955;1110;206;;;;;;136;62;;;58;;;;99;;;
08317152 Kappel-Grafenhausen;3711;3390;321;0;2255;307;38;2217;927;484;550;66;;;;;;76;31;;;23;27;;;33;;;
08317153 Rheinau, Stadt;8568;7831;737;0;5173;682;98;5075;1901;1292;1175;283;;;;;;166;41;;;87;;;;130;;;
08325001 Aichhalden;3222;2920;302;0;2292;283;61;2231;1103;430;314;47;21;;;;;55;33;;;25;147;;;56;;;
08325009 Bösingen;2539;2314;225;0;1819;218;62;1757;1023;223;233;81;18;;;;;16;25;;;38;66;;;34;;;
08325011 Dietingen;3032;2694;338;0;2170;324;68;2102;1098;327;315;116;10;;;;;48;29;;;50;64;;;45;;;
08325012 Dornhan, Stadt;4820;4543;277;0;3338;268;81;3257;1474;739;474;230;24;;;;;69;47;;;51;62;;;87;;;
08325014 Dunningen;4632;4111;521;0;3205;495;59;3146;1647;555;534;95;17;;;;;48;34;;;36;120;;;60;;;
08325015 Epfendorf;2599;2398;201;0;1790;185;49;1741;867;312;272;100;6;;;;;37;26;;;54;36;;;31;;;
08325024 Hardt;1998;1813;185;0;1464;172;35;1429;811;204;204;23;14;;;;;20;10;;;22;89;;;32;;;
08325036 Lauterbach;2335;2074;261;0;1647;255;44;1603;882;271;203;23;10;;;;;28;15;;;19;112;;;40;;;
08325045 Oberndorf am Neckar, Stadt;10289;9524;765;0;6447;730;168;6279;2740;1379;1047;434;53;;;;;181;84;;;97;164;;;100;;;
08325049 Rottweil, Stadt;18117;15859;2258;0;11480;2130;231;11249;4910;2057;2617;672;42;;;;;340;80;;;116;215;;;200;;;
08325050 Schenkenzell;1447;1316;131;0;1040;126;20;1020;538;178;207;27;3;;;;;17;3;;;7;16;;;24;;;
08325051 Schiltach, Stadt;3100;2796;304;0;2031;278;36;1995;761;529;477;55;11;;;;;53;14;;;12;45;;;38;;;
08325053 Schramberg, Stadt;15808;13695;2112;1;9842;1997;256;9586;4441;1956;1404;157;61;;;;;257;68;;;133;895;;;214;;;
08325057 Sulz am Neckar, Stadt;9041;8462;579;0;5848;532;136;5712;2232;1135;1014;756;25;;;;;104;108;;;132;110;;;96;;;
08325060 Villingendorf;2417;2192;225;0;1647;214;37;1610;781;291;274;96;10;;;;;35;12;;;15;66;;;30;;;
08325061 Vöhringen;3112;2901;211;0;2046;205;50;1996;630;421;236;424;28;;;;;46;59;;;64;44;;;44;;;
08325064 Wellendingen;2160;1963;197;0;1344;185;23;1321;714;217;167;102;11;;;;;27;4;;;25;26;;;28;;;
08325069 Zimmern ob Rottweil;4481;3908;573;0;2993;542;73;2920;1390;574;560;143;16;;;;;58;17;;;25;66;;;71;;;
08325070 Fluorn-Winzeln;2427;2254;173;0;1652;166;42;1610;767;293;208;100;7;;;;;37;27;;;23;111;;;37;;;
08325071 Eschbronn;1618;1487;131;0;1108;126;25;1083;470;214;203;39;12;;;;;37;13;;;21;44;;;30;;;
08325072 Deißlingen;4529;4054;475;0;2912;460;65;2847;1226;635;545;149;26;;;;;56;19;;;54;64;;;73;;;
08326003 Bad Dürrheim, Stadt;9733;8183;1550;0;6298;1352;85;6213;2710;1252;1324;474;;;;;;139;38;;;88;39;52;;97;;;
08326005 Blumberg, Stadt;7339;6912;427;0;4189;395;79;4110;1987;900;597;267;;;;;;120;50;;;67;47;;;75;;;
08326006 Bräunlingen, Stadt;4379;3952;427;0;2957;410;39;2918;1255;588;670;210;;;;;;64;15;;;44;20;11;;41;;;
08326010 Dauchingen;2838;2453;385;0;1973;361;42;1931;845;467;388;100;;;;;;32;5;;;37;19;7;;31;;;
08326012 Donaueschingen, Stadt;15791;14038;1753;0;9808;1640;161;9647;4049;2032;2053;752;;;;;;261;69;;;130;113;;;188;;;
08326017 Furtwangen im Schwarzwald, Stadt;6511;5844;667;0;4303;630;64;4239;1728;798;1235;160;;;;;;98;33;;;58;24;17;;88;;;
08326020 Gütenbach;969;889;80;0;666;79;15;651;276;129;176;21;;;;;;12;2;;;15;6;0;;14;;;
08326027 Hüfingen, Stadt;5450;5001;449;0;3502;420;42;3460;1525;730;670;264;;;;;;73;33;;;53;36;;;76;;;
08326031 Königsfeld im Schwarzwald;4597;3961;636;0;3307;610;49;3258;1181;623;928;224;;;;;;87;16;;;45;43;50;;61;;;
08326037 Mönchweiler;2362;2093;269;0;1581;261;26;1555;661;361;345;77;;;;;;24;13;;;21;8;15;;30;;;
08326041 Niedereschach;4503;4059;444;0;3066;432;57;3009;1451;545;683;118;;;;;;51;18;;;56;24;12;;51;;;
08326052 St. Georgen im Schwarzwald, Stadt;9576;8682;894;0;6386;859;98;6288;2385;1586;1393;328;;;;;;150;34;;;82;56;164;;110;;;
08326054 Schönwald im Schwarzwald;1873;1620;253;0;1273;242;18;1255;709;220;219;55;;;;;;13;8;;;9;4;9;;9;;;
08326055 Schonach im Schwarzwald;3249;2904;345;0;2290;335;41;2249;1440;236;356;97;;;;;;43;15;;;18;11;9;;24;;;
08326060 Triberg im Schwarzwald, Stadt;3558;3132;426;0;2240;400;49;2191;1183;387;352;119;;;;;;42;15;;;31;13;12;;37;;;
08326061 Tuningen;2108;1880;228;0;1383;223;20;1363;565;327;292;74;;;;;;23;3;;;24;14;16;;25;;;
08326065 Unterkirnach;1809;1602;207;0;1132;194;21;1111;519;192;242;73;;;;;;26;12;;;13;8;3;;23;;;
08326068 Vöhrenbach, Stadt;2800;2505;295;0;1724;275;41;1683;708;350;446;65;;;;;;26;12;;;23;14;9;;30;;;
08326074 Villingen-Schwenningen, Stadt;57050;51480;5570;0;32510;5302;430;32080;12931;7948;7131;1483;;;;;;827;147;;;661;243;186;;523;;;
08326075 Brigachtal;3948;3615;333;0;2567;322;40;2527;1210;526;518;102;;;;;;35;14;;;38;25;23;;36;;;
08327002 Aldingen;5363;4978;385;0;2950;363;41;2909;1335;601;480;222;;;;;;80;18;;;55;48;;;70;;;
08327004 Bärenthal;375;344;31;0;256;0;4;252;155;42;21;9;;;;;;5;7;;;3;2;;;8;;;
08327005 Balgheim;816;733;83;0;504;1;11;493;242;97;77;38;;;;;;7;5;;;5;11;;;11;;;
08327006 Böttingen;1088;989;99;0;655;0;9;646;399;83;63;38;;;;;;10;9;;;10;26;;;8;;;
08327007 Bubsheim;807;772;35;0;411;0;13;398;273;33;25;13;;;;;;3;2;;;6;37;;;6;;;
08327008 Buchheim;526;494;32;0;380;0;10;370;236;49;40;14;;;;;;11;3;;;5;7;;;5;;;
08327009 Deilingen;1264;1121;143;0;900;135;13;887;565;109;111;43;;;;;;18;7;;;11;13;;;10;;;
08327010 Denkingen;1897;1734;163;0;1247;156;29;1218;655;191;216;67;;;;;;28;12;;;7;18;;;24;;;
08327011 Dürbheim;1264;1100;164;0;880;157;15;865;476;116;130;62;;;;;;18;11;;;14;16;;;22;;;
08327012 Durchhausen;711;669;42;0;427;0;3;424;216;71;78;32;;;;;;5;3;;;4;3;;;12;;;
08327013 Egesheim;466;451;15;0;251;0;3;248;179;19;9;23;;;;;;4;6;;;4;1;;;3;;;
08327016 Fridingen an der Donau, Stadt;2405;2166;239;0;1695;224;23;1672;684;452;338;81;;;;;;29;17;;;22;27;;;22;;;
08327017 Frittlingen;1488;1359;129;0;1066;126;17;1049;579;151;194;63;;;;;;15;6;;;4;18;;;19;;;
08327018 Geisingen, Stadt;4477;4106;371;0;2602;362;48;2554;1264;510;388;212;;;;;;55;18;;;30;23;;;54;;;
08327019 Gosheim;2731;2434;297;0;1632;290;24;1608;1007;209;158;95;;;;;;31;13;;;23;37;;;35;;;
08327020 Gunningen;541;496;45;0;341;0;6;335;177;37;47;34;;;;;;8;5;;;10;6;;;11;;;
08327023 Hausen ob Verena;600;519;81;0;370;0;7;363;145;91;74;28;;;;;;10;2;;;3;4;;;6;;;
08327025 Immendingen;3937;3585;352;0;2587;330;28;2559;1233;552;395;106;;;;;;65;33;;;56;32;;;87;;;
08327027 Irndorf;561;528;33;0;373;0;9;364;192;73;38;33;;;;;;5;6;;;7;6;;;4;;;
08327029 Königsheim;428;397;31;0;262;0;6;256;172;29;27;7;;;;;;4;5;;;4;4;;;4;;;
08327030 Kolbingen;998;904;94;0;756;89;9;747;390;179;76;30;;;;;;17;7;;;13;16;;;19;;;
08327033 Mahlstetten;613;566;47;0;414;0;8;406;208;79;60;14;;;;;;8;2;;;14;12;;;9;;;
08327036 Mühlheim an der Donau, Stadt;2794;2516;278;0;2029;265;23;2006;762;799;271;80;;;;;;24;5;;;28;19;;;18;;;
08327038 Neuhausen ob Eck;2904;2706;198;0;1748;190;18;1730;763;408;259;109;;;;;;68;20;;;44;23;;;36;;;
08327040 Reichenbach am Heuberg;339;319;20;0;198;0;4;194;103;43;13;9;;;;;;8;4;;;9;2;;;3;;;
08327041 Renquishausen;571;524;47;0;403;0;14;389;229;62;40;32;;;;;;4;5;;;9;3;;;5;;;
08327046 Spaichingen, Stadt;8981;7965;1016;0;5514;976;68;5446;2447;1019;941;666;;;;;;130;28;;;58;61;;;96;;;
08327048 Talheim;941;880;61;0;615;60;8;607;269;147;106;33;;;;;;15;5;;;15;4;;;13;;;
08327049 Trossingen, Stadt;10853;9677;1173;3;5974;1128;95;5879;2468;1166;1252;503;;;;;;160;53;;;80;69;;;128;;;
08327050 Tuttlingen, Stadt;22610;19978;2632;0;13815;2482;156;13659;5733;3289;2720;793;;;;;;451;101;;;223;129;;;220;;;
08327051 Wehingen;2392;2161;231;0;1442;211;22;1420;807;234;179;73;;;;;;29;18;;;36;21;;;23;;;
08327054 Wurmlingen;2967;2499;468;0;2108;448;29;2079;1009;476;317;98;;;;;;53;18;;;39;36;;;33;;;
08327055 Seitingen-Oberflacht;1731;1520;211;0;1184;207;13;1171;570;222;211;73;;;;;;39;6;;;16;14;;;20;;;
08327056 Rietheim-Weilheim;2040;1835;205;0;1365;197;12;1353;665;260;227;105;;;;;;36;12;;;9;13;;;26;;;
08327057 Emmingen-Liptingen;3395;3031;364;0;2194;344;32;2162;991;448;376;149;;;;;;78;30;;;28;16;;;46;;;
08327991 Briefwahl für mehrere Gemeinden;;;;;582;582;3;579;302;81;94;52;;;;;;21;3;;;9;11;;;6;;;
08335001 Aach, Stadt;1653;1482;171;0;998;165;13;985;354;233;223;76;;;;;;32;6;;;22;11;;;28;;;
08335002 Allensbach;5509;4548;961;0;3993;909;62;3931;1563;744;1236;197;;;;;;78;8;;;18;18;;;69;;;
08335015 Büsingen am Hochrhein;773;674;99;0;431;93;5;426;193;78;93;23;;;;;;15;2;;;3;6;;;13;;;
08335021 Eigeltingen;2726;2501;225;0;1739;214;24;1715;817;293;359;134;;;;;;25;9;;;21;8;;;49;;;
08335022 Engen, Stadt;7491;6747;744;0;4860;710;82;4778;1978;971;1132;306;;;;;;130;30;;;75;59;;;97;;;
08335025 Gaienhofen;2514;2056;458;0;1801;444;24;1777;727;276;553;124;;;;;;29;9;;;9;13;;;37;;;
08335026 Gailingen am Hochrhein;2037;1764;273;0;1288;239;33;1255;463;258;364;75;;;;;;45;3;;;6;19;;;22;;;
08335028 Gottmadingen;7375;6546;829;0;4585;801;104;4481;1528;1278;1107;223;;;;;;118;29;;;38;45;;;115;;;
08335035 Hilzingen;6294;5710;584;0;4100;552;73;4027;1548;844;957;387;;;;;;99;27;;;41;31;;;93;;;
08335043 Konstanz, Universitätsstadt;58621;48516;10105;0;38590;9544;432;38158;11233;8292;13898;1972;;;;;;1165;117;;;138;268;;;1075;;;
08335055 Moos;2488;2207;281;0;1792;270;24;1768;691;267;588;110;;;;;;35;11;;;19;13;;;34;;;
08335057 Mühlingen;1737;1625;112;0;1063;111;19;1044;490;188;219;57;;;;;;35;7;;;7;15;;;26;;;
08335061 Öhningen;2735;2358;377;0;1849;359;24;1825;799;254;548;118;;;;;;42;7;;;13;8;;;36;;;
08335063 Radolfzell am Bodensee, Stadt;22229;19046;3183;0;14647;3039;209;14438;4959;2854;4805;831;;;;;;375;65;;;133;116;;;300;;;
08335066 Reichenau;3939;3370;569;0;2814;539;22;2792;1239;438;800;192;;;;;;36;5;;;4;21;;;57;;;
08335075 Singen (Hohentwiel), Stadt;30113;27766;2347;0;15941;2230;269;15672;5824;4480;3184;769;;;;;;636;108;;;197;128;;;346;;;
08335077 Steißlingen;3532;3102;430;0;2485;411;36;2449;1031;493;642;114;;;;;;41;18;;;18;30;;;62;;;
08335079 Stockach, Stadt;12159;10916;1243;0;7431;1173;105;7326;3262;1340;1782;485;;;;;;167;48;;;45;61;;;136;;;
08335080 Tengen, Stadt;3584;3276;308;0;2473;284;57;2416;1048;506;489;193;;;;;;52;12;;;29;23;;;64;;;
08335081 Volkertshausen;2088;1896;192;0;1318;183;19;1299;448;376;293;86;;;;;;36;6;;;12;13;;;29;;;
08335096 Hohenfels;1472;1359;113;0;997;113;23;974;495;156;184;54;;;;;;37;16;;;2;14;;;16;;;
08335097 Mühlhausen-Ehingen;2789;2564;225;0;1781;212;41;1740;743;421;342;78;;;;;;64;13;;;27;13;;;39;;;
08335098 Bodman-Ludwigshafen;3330;2743;587;0;2229;554;49;2180;950;397;525;175;;;;;;47;11;;;15;25;;;35;;;
08335099 Orsingen-Nenzingen;2387;2179;208;0;1681;200;34;1647;760;331;365;78;;;;;;38;4;;;16;27;;;28;;;
08335100 Rielasingen-Worblingen;8855;8031;824;0;5536;782;116;5420;2062;1369;1240;303;;;;;;166;35;;;66;37;;;142;;;
08336004 Aitern;411;364;47;0;241;0;5;236;109;38;64;10;;;;;;0;5;;;4;;1;;5;;;
08336006 Bad Bellingen;3043;2658;385;0;1845;359;31;1814;768;401;444;78;;;;;;45;20;;;13;;11;;34;;;
08336008 Binzen;2163;1918;245;0;1627;382;31;1596;449;401;493;149;;;;;;36;22;;;5;;17;;24;;;
08336010 Böllen;72;69;3;0;51;0;1;50;23;8;16;1;;;;;;0;1;;;0;;0;;1;;;
08336014 Efringen-Kirchen;6362;5666;696;0;4327;665;90;4237;1289;1138;1172;319;;;;;;88;44;;;60;;34;;93;;;
08336019 Eimeldingen;1816;1668;147;1;1177;141;23;1154;323;361;313;55;;;;;;26;14;;;16;;20;;26;;;
08336024 Fischingen;524;480;44;0;338;0;3;335;132;88;92;8;;;;;;4;3;;;3;;2;;3;;;
08336025 Fröhnd;389;382;7;0;255;0;8;247;134;46;38;10;;;;;;9;5;;;3;;1;;1;;;
08336034 Hasel;873;820;53;0;465;48;9;456;144;110;142;16;;;;;;7;29;;;1;;2;;5;;;
08336036 Hausen im Wiesental;1682;1530;152;0;1159;146;20;1139;332;334;323;53;;;;;;41;19;;;11;;8;;18;;;
08336043 Inzlingen;1933;1600;333;0;1380;312;24;1356;519;352;363;60;;;;;;15;11;;;9;;6;;21;;;
08336045 Kandern, Stadt;5950;5382;568;0;3833;525;66;3767;1157;1001;1161;193;;32;;;;67;35;;;23;;29;;69;;;
08336050 Lörrach, Stadt;33600;29812;3788;0;19140;3461;275;18865;6065;4895;5781;809;;;;;;508;165;;;121;;175;;346;;;
08336057 Maulburg;2997;2732;265;0;1839;254;24;1815;463;584;527;97;;;;;;45;26;;;19;;12;;42;;;
08336069 Rheinfelden (Baden), Stadt;22621;20543;2078;0;12835;1951;239;12596;4056;4334;2879;485;;;;;;302;132;;;100;95;;;213;;;
08336073 Rümmingen;1245;1095;150;0;794;146;7;787;253;217;229;43;;;;;;15;8;;;1;;7;;14;;;
08336075 Schallbach;567;515;52;0;359;0;9;350;138;73;74;33;;;;;;7;6;;;5;;8;;6;;;
08336078 Schliengen;3983;3467;516;0;2711;484;54;2657;890;622;753;185;;18;;;;65;37;;;14;;15;;58;;;
08336079 Schönau im Schwarzwald, Stadt;1641;1466;175;0;1173;313;21;1152;475;252;305;52;;;;;;19;18;;;7;;3;;21;;;
08336080 Schönenberg;290;271;19;0;184;0;2;182;81;36;51;0;;;;;;4;0;;;1;;1;;8;;;
08336081 Schopfheim, Stadt;13930;12372;1558;0;8045;1468;149;7896;2240;2121;2616;271;;;;;;221;125;;;60;;54;;188;;;
08336082 Schwörstadt;1809;1610;199;0;1135;183;21;1114;409;336;228;50;;;;;;22;28;;;10;14;;;17;;;
08336084 Steinen;7450;6799;651;0;4729;615;73;4656;1489;1265;1290;199;;;;;;120;71;;;47;;88;;87;;;
08336087 Todtnau, Stadt;3599;3248;351;0;2478;341;63;2415;964;632;527;120;;;;;;68;21;;;30;;8;;45;;;
08336089 Tunau;151;149;2;0;124;0;7;117;75;18;15;7;;;;;;0;1;;;0;;0;;1;;;
08336090 Utzenfeld;505;472;33;0;288;0;6;282;129;60;50;14;;;;;;7;8;;;8;;1;;5;;;
08336091 Weil am Rhein, Stadt;20600;18565;2035;0;11581;1928;186;11395;3115;3942;2715;568;;;;;;391;185;;;151;;102;;226;;;
08336094 Wembach;250;234;16;0;167;0;3;164;62;30;45;10;;;;;;4;3;;;5;;2;;3;;;
08336096 Wieden;453;424;29;0;318;0;10;308;176;58;45;11;;;;;;7;5;;;1;;3;;2;;;
08336100 Wittlingen;696;642;54;0;400;0;5;395;131;100;121;13;;;;;;6;4;;;2;;8;;10;;;
08336103 Zell im Wiesental, Stadt;4205;3908;297;0;2618;308;62;2556;914;755;586;112;;;;;;80;52;;;16;;7;;34;;;
08336104 Malsburg-Marzell;1128;1027;101;0;716;98;17;699;178;221;214;30;;7;;;;13;6;;;11;;2;;17;;;
08336105 Grenzach-Wyhlen;10235;8955;1280;0;6009;1203;119;5890;1757;1649;1731;360;;;;;;151;39;;;50;;29;;124;;;
08336106 Häg-Ehrsberg;691;660;31;0;412;0;12;400;226;54;72;22;;;;;;10;4;;;7;;0;;5;;;
08336107 Kleines Wiesental;2307;2166;141;0;1469;132;28;1441;446;383;391;82;;;;;;37;51;;;13;;9;;29;;;
08337002 Albbruck;5255;4813;442;0;3205;421;56;3149;1420;764;612;126;;;;;;58;39;;;13;70;;;47;;;
08337013 Bernau im Schwarzwald;1370;1229;141;0;1019;137;23;996;495;131;246;69;;;;;;10;7;;;8;7;4;;19;;;
08337022 Bonndorf im Schwarzwald, Stadt;4993;4578;415;0;2920;397;53;2867;1210;691;602;162;;;;;;62;25;;;23;42;9;;41;;;
08337027 Dachsberg (Südschwarzwald);1015;915;100;0;763;97;8;755;356;120;217;25;;;;;;12;6;;;1;9;1;;8;;;
08337030 Dettighofen;785;723;62;0;478;60;12;466;201;79;139;19;;;;;;8;9;;;3;6;;;2;;;
08337032 Dogern;1781;1600;181;0;1224;175;19;1205;572;253;229;80;;;;;;16;14;;;6;9;;;26;;;
08337038 Görwihl;3274;2983;291;0;2221;280;34;2187;1067;351;461;104;;;;;;45;58;;;15;32;;;54;;;
08337039 Grafenhausen;1600;1415;185;0;1186;175;9;1177;580;259;212;63;;;;;;18;11;;;9;9;4;;12;;;
08337045 Häusern;932;809;123;0;655;110;16;639;310;149;115;24;;;;;;17;8;;;3;5;1;;7;;;
08337049 Herrischried;1917;1707;210;0;1157;197;10;1147;503;165;316;56;;;;;;23;32;;;10;21;;;21;;;
08337051 Höchenschwand;1773;1546;227;0;1112;213;19;1093;541;247;182;63;;;;;;21;6;;;7;8;0;;18;;;
08337053 Hohentengen am Hochrhein;2487;2290;197;0;1650;191;29;1621;714;325;380;102;;;;;;31;13;;;11;9;;;36;;;
08337059 Ibach;312;282;30;0;189;0;5;184;103;35;36;4;;;;;;3;1;;;0;0;0;;2;;;
08337060 Jestetten;3346;3032;314;0;1900;302;24;1876;701;398;528;109;;;;;;51;18;;;10;28;;;33;;;
08337062 Klettgau;5194;4806;388;0;3399;369;53;3346;1358;734;842;169;;;;;;68;47;;;20;38;;;70;;;
08337065 Lauchringen;5204;4725;479;0;3327;468;39;3288;1501;829;590;110;;;;;;64;49;;;23;54;;;68;;;
08337066 Laufenburg (Baden), Stadt;5927;5469;458;0;3394;430;53;3341;1234;820;844;160;;;;;;78;67;;;35;30;;;73;;;
08337070 Lottstetten;1408;1290;118;0;827;111;12;815;343;151;203;53;;;;;;27;9;;;6;10;;;13;;;
08337076 Murg;4633;4137;496;0;2757;467;35;2722;1016;732;638;145;;;;;;54;42;;;30;35;;;30;;;
08337090 Rickenbach;2885;2600;285;0;1797;241;28;1769;688;363;469;101;;;;;;47;44;;;10;24;;;23;;;
08337096 Bad Säckingen, Stadt;11859;10512;1347;0;6994;1256;114;6880;2301;1713;1961;381;;;;;;180;143;;;48;57;;;96;;;
08337097 St. Blasien, Stadt;2602;2206;396;0;1137;0;18;1119;534;248;209;71;;;;;;24;6;;;9;5;1;;12;;;
08337106 Stühlingen, Stadt;3864;3570;294;0;2580;278;37;2543;1270;466;427;188;;;;;;50;27;;;17;46;;;52;;;
08337108 Todtmoos;1441;1230;211;0;914;199;25;889;397;167;211;48;;;;;;34;7;;;1;8;3;;13;;;
08337116 Wehr, Stadt;9117;8379;738;0;5399;693;104;5295;1606;1221;1289;565;;;;;;113;295;;;70;47;;;89;;;
08337118 Weilheim;2402;2221;181;0;1736;167;21;1715;878;322;354;81;;;;;;19;10;;;6;17;;;28;;;
08337123 Wutöschingen;4629;4345;284;0;2741;267;45;2696;1315;591;499;111;;;;;;53;30;;;18;29;;;50;;;
08337124 Eggingen;1239;1136;103;0;781;97;7;774;378;137;164;38;;;;;;14;14;;;6;7;;;16;;;
08337125 Küssaberg;4037;3712;325;0;2527;308;40;2487;1001;629;561;125;;;;;;38;30;;;26;15;;;62;;;
08337126 Waldshut-Tiengen, Stadt;16367;14643;1724;0;9707;1631;126;9581;3950;2274;2124;470;;;;;;256;140;;;53;133;;;181;;;
08337127 Wutach;916;853;63;0;704;51;15;689;367;124;122;32;;;;;;10;6;;;4;11;2;;11;;;
08337128 Ühlingen-Birkendorf;3767;3468;299;0;2424;267;32;2392;1137;488;474;122;;;;;;41;23;;;19;54;8;;26;;;
08337991 Briefwahl für mehrere Gemeinden;;;;;399;399;0;399;214;78;62;26;;;;;;10;0;;;4;3;0;;2;;;
08415014 Dettingen an der Erms;6508;5692;816;0;4467;774;62;4405;1895;987;943;283;;;;;;92;48;;;37;34;;;86;;;
08415019 Eningen unter Achalm;7866;6841;1024;1;5635;981;87;5548;2146;1375;1274;379;;;;;;127;51;;;36;42;;;118;;;
08415027 Gomadingen;1697;1509;188;0;1282;180;21;1261;488;296;254;117;;;;;;44;12;;;10;11;;;29;;;
08415028 Grabenstetten;1197;1038;159;0;700;0;14;686;329;120;111;58;;;;;;18;20;;;11;7;;;12;;;
08415029 Grafenberg;1976;1760;216;0;1492;205;24;1468;704;306;275;98;;;;;;28;13;;;9;15;;;20;;;
08415034 Hayingen, Stadt;1663;1490;173;0;1348;166;27;1321;712;205;197;105;;;;;;30;22;;;18;8;;;24;;;
08415039 Hülben;2186;1907;279;0;1611;269;22;1589;790;342;234;108;;;;;;34;31;;;18;9;;;23;;;
08415048 Mehrstetten;1061;982;79;0;660;1;10;650;273;114;138;76;;;;;;19;6;;;12;3;;;9;;;
08415050 Metzingen, Stadt;15409;13767;1642;0;10420;1558;144;10276;4222;2284;2399;700;;;;;;257;87;;;66;53;;;208;;;
08415053 Münsingen, Stadt;10773;9793;980;0;6696;914;95;6601;2653;1490;1070;891;;;;;;184;72;;;73;45;;;123;;;
08415058 Pfronstetten;1198;1091;107;0;950;101;35;915;575;110;81;76;;;;;;18;17;;;15;8;;;15;;;
08415059 Pfullingen, Stadt;12847;11401;1446;0;8832;1398;117;8715;3470;2145;1981;511;69;;;;;224;58;;;70;51;;;136;;;
08415060 Pliezhausen;7042;6106;936;0;5310;910;71;5239;2170;1224;1202;264;45;;;;;93;57;;;43;54;;;87;;;
08415061 Reutlingen, Stadt;75964;66624;9340;0;48559;8769;554;48005;16777;12161;12422;2783;366;;;;;1551;367;;;378;300;;;900;;;
08415062 Riederich;3061;2789;272;0;2160;264;27;2133;934;492;452;118;;;;;;48;23;;;13;16;;;37;;;
08415073 Trochtelfingen, Stadt;4799;4282;517;0;3339;491;51;3288;1658;606;566;194;;;;;;105;32;;;27;27;;;73;;;
08415078 Bad Urach, Stadt;8436;7402;1034;0;5732;975;89;5643;2145;1396;1161;486;;;;;;182;63;;;61;45;;;104;;;
08415080 Wannweil;3738;3267;471;0;2758;456;26;2732;904;670;743;253;12;;;;;44;19;;;23;14;;;50;;;
08415085 Zwiefalten;1693;1424;269;0;1205;256;14;1191;628;290;138;54;;;;;;25;11;;;16;8;;;21;;;
08415087 Walddorfhäslach;3596;3194;402;0;2689;383;35;2654;1270;527;522;141;16;;;;;32;43;;;31;26;;;46;;;
