nuts-id	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
FR30	8940.5 	9305.5 	9771.3 	10211.3 	11112.9 	12314.2 	12849.1 	12378.5 	12833.5 	13456.5 	14316.2 	14939.0 
FR41	10236.4 	10643.4 	11174.1 	11684.3 	12519.0 	14046.3 	14603.0 	14022.2 	14599.8 	15092.3 	15877.7 	16649.0 
FR42	11008.7 	11451.6 	12053.1 	12544.8 	13470.4 	15166.6 	15766.8 	15048.5 	15635.9 	16261.8 	16425.1 	17517.7 
FR43	10437.3 	10896.0 	11478.4 	11975.4 	12904.4 	14311.9 	14975.9 	14391.3 	14959.1 	15628.6 	15885.9 	16877.4 
FR51	10228.3 	10753.7 	11177.5 	11763.6 	12663.4 	13946.2 	14454.6 	13849.6 	14343.5 	15085.7 	15948.9 	16491.0 
FR52	10227.6 	10857.3 	11216.3 	11722.7 	12603.7 	13906.6 	14266.7 	13713.0 	14168.2 	15050.8 	15824.2 	16449.2 
FR53	10203.6 	10807.4 	11208.8 	11741.1 	12614.1 	13792.4 	14426.6 	13848.9 	14342.7 	15052.7 	15973.8 	16513.7 
FR61	10557.2 	11342.2 	11697.7 	12209.2 	12996.5 	14322.4 	14877.0 	14214.1 	14735.7 	15535.4 	16368.7 	16958.8 
FR62	10202.9 	10861.5 	11217.8 	11868.9 	12765.1 	14018.6 	14569.6 	13905.4 	14333.4 	15224.5 	16042.2 	16563.5 
FR63	10532.7 	11139.4 	11798.3 	12269.7 	13232.9 	14434.5 	14990.7 	14412.3 	14903.0 	15829.8 	16613.9 	17321.4 
FR71	10968.1 	11529.9 	12136.4 	12755.1 	13664.3 	15029.2 	15667.5 	15012.5 	15563.2 	16212.2 	16864.4 	17629.5 
FR72	10554.3 	11187.1 	11707.5 	12227.7 	13080.3 	14256.9 	14895.8 	14372.0 	14876.0 	15828.9 	16618.6 	17425.7 
FR81	9714.3 	10315.5 	10821.1 	11361.3 	12116.7 	13252.6 	13803.9 	13259.4 	13632.5 	14292.6 	15217.6 	15625.9 
FR82	10756.6 	11284.0 	11731.8 	12305.5 	13300.0 	14586.1 	15224.2 	14640.7 	15107.9 	15784.7 	16202.0 	17026.8 
FR83	9009.1 	9864.9 	10675.0 	11064.0 	11559.3 	12633.7 	13174.3 	12752.6 	13086.5 	13730.6 	14870.4 	14988.6 
FR91	6427.5 	: 	7531.9 	7908.0 	8416.2 	: 	: 	: 	: 	: 	: 	: 
FR92	6949.5 	: 	8489.1 	8699.8 	9363.1 	: 	: 	: 	: 	: 	: 	: 
FR93	5518.9 	: 	6808.8 	6978.6 	7139.3 	: 	: 	: 	: 	: 	: 	: 
FR94	6622.2 	: 	7681.9 	7990.3 	8578.2 	: 	: 	: 	: 	: 	: 	: 
GR11	6920.4 	7339.2 	7096.5 	8292.2 	8466.7 b	9247.5 	10033.7 	9579.1 	9619.0 	10956.7 	11398.6 	12362.0 
GR12	7545.9 	7779.1 	7606.8 	8274.2 	7919.9 b	9110.8 	9733.0 	9515.2 	10957.5 	11874.0 	12324.2 	13345.6 
GR13	12107.9 	13207.9 	13006.7 	13710.2 	13735.3 b	14844.9 	16062.4 	14737.1 	13041.8 	11804.4 	12014.5 	13125.5 
GR14	8214.0 	8498.3 	8227.0 	9122.3 	8993.3 b	9887.6 	10715.4 	10464.6 	9894.0 	10923.4 	11440.1 	12666.4 
GR21	8095.1 	8890.6 	8984.9 	9792.7 	9856.4 b	10827.6 	11615.3 	10547.6 	10124.0 	10753.0 	11273.6 	12584.3 
GR22	8489.9 	9221.2 	9533.6 	10070.9 	10855.5 b	11361.0 	11981.2 	10788.3 	7636.4 	7495.6 	7454.1 	8553.9 
GR23	7910.6 	8107.5 	8170.9 	9089.8 	8867.1 b	9977.6 	10735.8 	10121.7 	9298.4 	9878.7 	10356.8 	11461.9 
GR24	8306.5 	10608.1 	10295.5 	11205.7 	11320.9 b	12601.1 	13642.4 	12843.9 	11484.3 	12516.3 	13165.2 	14686.8 
GR25	7490.6 	7196.5 	7266.8 	7744.8 	7839.1 b	8486.0 	9145.5 	9108.3 	9434.8 	9955.7 	10530.4 	11732.5 
GR30	9507.7 	9851.4 	10439.9 	11584.0 	11820.3 b	12915.5 	14033.7 	13828.8 	15277.1 	15673.4 	16501.7 	18251.2 
GR41	7965.8 	7918.9 	8930.0 	9549.4 	10268.9 b	10504.0 	11202.1 	10778.1 	10116.4 	11117.4 	11945.4 	13834.2 
GR42	7750.8 	8249.5 	8479.8 	9935.0 	11893.2 b	12535.1 	13321.7 	12292.0 	11876.5 	12341.4 	13394.0 	15280.4 
GR43	9304.3 	9040.9 	9268.6 	9880.9 	10050.1 b	10654.1 	11415.2 	11194.6 	10252.3 	11317.1 	11966.2 	13415.6 
HU10	: 	: 	: 	: 	7650.1 	8069.6 	9110.2 	9670.0 	10328.3 	11078.9 	10867.6 	10505.9 
HU21	: 	: 	: 	: 	5366.0 	5954.1 	6438.1 	6476.1 	6594.3 	7178.9 	7870.0 	7897.9 
HU22	: 	: 	: 	: 	5722.8 	6033.4 	6575.8 	6619.5 	6971.3 	7236.9 	7585.7 	7605.9 
HU23	: 	: 	: 	: 	4690.3 	5044.4 	5657.9 	5854.8 	5784.7 	6279.1 	6792.2 	6903.8 
HU31	: 	: 	: 	: 	4328.8 	4701.3 	5190.9 	5332.5 	6628.5 	5844.1 	6274.4 	6404.4 
HU32	: 	: 	: 	: 	4060.2 	4551.7 	4986.0 	5177.7 	5002.3 	5495.1 	6097.8 	6269.3 
HU33	: 	: 	: 	: 	4716.0 	5268.9 	5475.7 	5631.6 	5523.6 	5946.4 	6443.3 	6569.1 
IE01	7829.5	8405.3	9260.1	9509.4	10306.7	11261.4	11022.1	11423.7	12264.2	13056.6	13489.2	14108.6
IE02	9041.6	9575.5	10707.8	10892.6	11710.9	12601.7	12856.2	13284.1	14308.2	15145.5	15600.2	16292.7
ITC1	14379.8 	14860.1 	14888.7 	15468.5 	15850.5 	16211.9 	16411.7 	16661.5 	16943.3 	17249.8 	18017.5 	18480.1 
ITC2	14851.3 	15195.3 	15578.3 	15793.9 	16607.9 	17514.1 	17366.4 	17414.4 	17588.0 	17440.9 	18171.2 	18934.3 
ITC3	13870.0 	14461.2 	14716.1 	15057.0 	15763.8 	16415.1 	16199.4 	16401.9 	16292.5 	16687.1 	17248.7 	17985.0 
ITC4	15366.8 	15841.0 	16174.6 	16581.9 	16985.2 	17437.2 	17498.0 	17513.5 	17820.2 	18140.0 	18747.5 	19364.9 
ITD1	15748.4 	15632.9 	15986.3 	16088.4 	16818.1 	17934.9 	17808.1 	17320.7 	18209.6 	18225.0 	18766.9 	19575.1 
ITD2	14178.9 	14276.2 	14461.2 	14887.7 	15650.8 	15766.9 	15989.0 	15727.3 	15606.7 	15800.9 	16352.1 	17082.0 
ITD3	13821.8 	14361.8 	14521.4 	15011.4 	15662.3 	15986.9 	15847.0 	16126.6 	16296.5 	16573.1 	17049.5 	17537.7 
ITD4	13968.1 	14517.8 	14697.3 	15027.4 	15755.4 	16075.4 	16110.8 	16441.0 	16458.3 	16781.8 	17415.8 	18142.1 
ITD5	16087.6 	16513.3 	16645.3 	17060.8 	17867.1 	18249.7 	18220.7 	18325.1 	18165.0 	18452.0 	19235.3 	20113.6 
